Trans	Tempo	Evento	Falha	Turno	Minerio	Vagoes	Taxa	Ton	Equip	Area
1511	30	0	3	2	3	19	6543.1745	1984.544826	3	2
1388	538	0	2	3	4	23	5650.867	2401.618475	3	2
1503	45	1	7	2	3	9	6882.352941	917.4176471	4	2
1318	566	0	2	1	1	91	8537.793	9391.5723	1	1
1401	77	1	6	2	3	22	6133.9268	2261.578811	3	1
1504	603	0	2	3	1	25	7895.652174	2566.086957	4	2
1515	610	0	2	1	NA	0	0	0	4	2
2516	632	0	3	1	NA	0	NA	0	3	2
1535	537	1	7	1	3	27	6178.2142	2780.19639	3	2
1317	650	0	2	3	1	67	7980.05093	6916.04414	1	1
1538	654	0	3	3	4	53	5859.9264	5456.763464	3	2
1114	920	0	3	3	1	20	7620.5096	2102.498599	2	1
1319	429	0	3	2	2	12	6916.088824	1267.719081	1	1
1106	990	0	4	1	1	17	7467.684	1752.665435	1	1
1301	1044	1	1	1	4	9	4472.6901	919.1378156	1	1
1113	1054	0	2	3	1	47	8350.2274	4823.926369	2	1
1108	1080	0	2	3	4	19	5927.0183	1975.475199	1	1
1110	1082	1	1	3	2	38	6857.1847	3901.738094	2	1
1111	1115	1	6	1	1	48	8531.7211	4940.719689	2	1
1112	1154	0	2	3	1	17	8246.2794	1717.699999	2	1
1104	1160	1	8	1	2	34	7216.6957	3487.829032	1	1
1303	678	1	7	2	4	24	5206.5373	2441.865994	4	2
1310	691	1	7	2	1	23	8005.28	2401.584	1	1
1105	1219	0	3	1	1	42	7635.711	4346.246701	1	1
2506	1283	0	2	3	4	36	5276.5027	3664.003475	3	2
1540	1318	1	6	3	4	22	5385.0115	2221.317244	3	2
1537	650	0	2	1	3	33	6061.662	3398.167717	3	2
1308	1117	1	6	2	1	22	7966.5117	2256.912765	1	1
1413	1713	0	5	1	4	37	3776	3838.933333	4	2
2509	1767	0	3	1	2	37	7370.1528	3807.420936	3	2
1109	1776	0	2	3	1	4	7932.723243	396.6361622	2	1
2508	1866	1	8	1	3	21	5594.6297	2116.448416	4	2
2507	1891	0	3	2	4	33	6394.9692	3371.427762	3	2
2517	2507	0	2	1	NA	0	0	0	3	2
1102	2204	1	6	2	1	19	8104.3672	1917.49328	1	1
1415	2711	1	6	1	1	41	6434.8779	4194.253415	3	2
1320	2922	0	NA	3	1	12	7765.543077	1216.102247	3	2
1506	2922	0	NA	3	1	13	7890.4356	1322.1523	3	2
